Instrument_ID,Actuator,Lin0 Error,Bklsh,Zero Offet,C0,R0,K,B,CloseDelta,Motor #,Neg Backlash,Zero Offset,1_Close_Error Analysis 4750,2_Close_Error Analysis 4500,3_Close_Error Analysis 4250,4_Close_Error Analysis 4000,5_Close_Error Analysis 3750,6_Close_Error Analysis 3500,7_Close_Error Analysis 3250,8_Close_Error Analysis 3000,9_Close_Error Analysis 2750,10_Close_Error Analysis 2500,11_Close_Error Analysis 2250,12_Close_Error Analysis 2000,13_Close_Error Analysis 1750,14_Close_Error Analysis 1500,15_Close_Error Analysis 1250,16_Close_Error Analysis 1000,17_Close_Error Analysis 750,18_Close_Error Analysis 500,19_Close_Error Analysis 400,20_Close_Error Analysis 300,21_Close_Error Analysis 200,22_Close_Error Analysis 100,23_CloseError Analysis 0,24_Close_Error Analysis -100,25_Close_Error Analysis -200,26_Close_Error Analysis -300,27_Close_Error Analysis -400,28_Close_Error Analysis -500,29_Open_Error Analysis -400,30_Open_Error Analysis -300,31_Open_Error Analysis -200,32_Open_Error Analysis -100,33_Open_Error Analysis 0,34_Open_Error Analysis 100,35_Open_Error Analysis 200,36_Open_Error Analysis 300,37_Open_Error Analysis 400,38_Open_Error Analysis 500,39_Open_Error Analysis 750,40_Open_Error Analysis 1000,41_Open_Error Analysis 1250,42_Open_Error Analysis 1500,43_Open_Error Analysis 1750,44_Open_Error Analysis 2000,45_Open_Error Analysis 2250,46_Open_Error Analysis 2500,47_Open_Error Analysis 2750,48_Open_Error Analysis 3000,49_Open_Error Analysis 3250,50_Open_Error Analysis 3500,51_Open_Error Analysis 3750,52_Open_Error Analysis 4000,53_Open_Error Analysis 4250,54_Open_Error Analysis 4500,55_Open_Error Analysis 4750,56_Open_Error Analysis 5000
20064,C0,Pass,Pass,Pass,32317,21636,13321,4746,18,1,76.76190476,17.23684211,-16.34920635,-10.47619048,-5.238095238,-0.952380952,0.158730159,-2.222222222,-3.968253968,0.634920635,1.746031746,3.174603175,1.428571429,-7.58E-14,1.746031746,4.761904762,3.015873016,1.26984127,-1.746031746,-8.888888889,-11.74603175,-13.96825397,-15.23809524,3.492063492,38.41269841,100,189.5238095,282.8571429,376.5079365,471.4285714,372.3809524,275.2380952,178.0952381,86.66666667,25.3968254,-3.80952381,-36.82539683,-81.58730159,-75.87301587,-70.79365079,-58.25396825,-54.28571429,-60.79365079,-60.95238095,-56.98412698,-54.92063492,-56.98412698,-60,-62.38095238,-57.77777778,-58.57142857,-57.14285714,-63.01587302,-63.49206349,-61.74603175,-68.57142857,-76.03174603,-92.38095238
20064,P0,Pass,Pass,Pass,32041,23168,8984,4237,12,2,54.6031746,10.20242317,-27.46031746,-9.841269841,5.238095238,4.761904762,-0.476190476,-2.53968254,5.238095238,9.523809524,3.333333333,-0.952380952,-1.746031746,6.984126984,11.9047619,3.80952381,-0.158730159,2.53968254,13.80952381,15.23809524,12.6984127,9.206349206,6.349206349,5.396825397,46.66666667,113.6507937,203.8095238,299.047619,394.2857143,490.4761905,389.8412698,289.5238095,191.4285714,96.82539683,27.93650794,-37.14285714,-42.53968254,-44.76190476,-51.11111111,-54.92063492,-42.38095238,-31.74603175,-31.58730159,-44.12698413,-57.93650794,-47.3015873,-39.52380952,-38.41269841,-52.53968254,-64.44444444,-51.58730159,-43.17460317,-43.96825397,-58.73015873,-66.50793651,-57.77777778,-60.79365079,-78.0952381
20064,P1,Pass,Pass,Pass,32484,23199,10213,5200,-4,3,62.41269841,44.69760119,-15.3968254,-8.888888889,-1.428571429,-8.253968254,-7.142857143,-3.492063492,2.063492063,5.079365079,-1.428571429,-1.904761905,-1.428571429,5.714285714,7.46031746,2.53968254,1.746031746,5.396825397,10,9.523809524,6.984126984,6.349206349,6.031746032,7.936507937,60.63492063,130.4761905,221.5873016,315.8730159,411.1111111,506.984127,406.3492063,306.031746,207.3015873,107.3015873,34.6031746,-12.6984127,-47.3015873,-54.28571429,-59.36507937,-62.85714286,-46.19047619,-37.77777778,-46.19047619,-62.22222222,-67.46031746,-47.61904762,-43.33333333,-51.74603175,-68.41269841,-68.25396825,-50,-44.76190476,-55.07936508,-72.38095238,-68.0952381,-58.0952381,-58.57142857,-78.0952381
20064,C2,Pass,Pass,Pass,32081,15463,27238,4148,82,4,30.15873016,-19.45209734,-16.66666667,-4.761904762,3.015873016,2.857142857,8.412698413,13.65079365,6.507936508,7.301587302,7.142857143,11.42857143,16.03174603,12.38095238,12.22222222,11.74603175,15.3968254,20.31746032,15.3968254,1.26984127,-4.444444444,-10.79365079,-14.6031746,10.79365079,42.22222222,81.9047619,159.6825397,249.5238095,343.8095238,439.047619,344.1269841,246.6666667,149.5238095,73.65079365,31.11111111,11.11111111,-43.80952381,-43.49206349,-31.11111111,-21.26984127,1.111111111,-3.80952381,-9.365079365,-3.174603175,1.111111111,3.492063492,-4.920634921,-8.253968254,-0.158730159,5.079365079,-0.158730159,-7.301587302,-5.555555556,-2.857142857,-2.063492063,-10.79365079,-34.12698413,-55.55555556
20064,P2,Pass,Pass,Pass,31962,24557,9789,4697,18,5,60.88888889,31.94444444,-14.12698413,-6.031746032,-7.142857143,-7.619047619,-6.825396825,-1.587301587,2.063492063,-1.904761905,-2.698412698,-1.904761905,3.333333333,7.301587302,0.793650794,0.634920635,0.476190476,7.619047619,11.9047619,6.349206349,6.666666667,6.666666667,6.984126984,10.47619048,54.92063492,117.7777778,207.9365079,302.5396825,397.7777778,493.6507937,393.015873,293.015873,193.015873,95.23809524,33.65079365,-23.17460317,-42.85714286,-42.85714286,-45.3968254,-47.3015873,-49.68253968,-48.88888889,-48.73015873,-47.93650794,-53.17460317,-54.92063492,-53.49206349,-53.33333333,-53.49206349,-57.77777778,-58.88888889,-55.55555556,-56.66666667,-59.36507937,-62.6984127,-64.76190476,-67.77777778,-75.87301587
20064,C3,Pass,Pass,Pass,32547,22846,14361,5436,32,6,67.68253968,-19.02127156,-16.34920635,-8.571428571,-0.793650794,-0.952380952,-3.333333333,-2.53968254,-3.015873016,2.222222222,-2.063492063,-2.53968254,-3.015873016,0,2.063492063,-0.634920635,-4.603174603,-0.634920635,0.158730159,-8.571428571,-13.96825397,-19.04761905,-21.26984127,-7.936507937,14.6031746,88.25396825,180.3174603,274.6031746,370.1587302,465.0793651,367.6190476,273.3333333,179.6825397,87.61904762,9.523809524,-20.95238095,-36.82539683,-79.36507937,-75.87301587,-71.74603175,-58.57142857,-55.23809524,-61.42857143,-60.31746032,-58.88888889,-58.41269841,-60.47619048,-64.76190476,-63.01587302,-61.9047619,-62.38095238,-63.17460317,-66.19047619,-65.71428571,-65.55555556,-69.84126984,-78.57142857,-94.92063492
20064,P3,Pass,Pass,Pass,31675,25002,7394,4176,42,7,71.55555556,-9.570431087,-12.85714286,-8.888888889,-3.015873016,-4.444444444,-0.476190476,5.079365079,1.111111111,1.26984127,-1.111111111,3.492063492,9.365079365,8.253968254,7.142857143,3.492063492,9.365079365,14.6031746,13.80952381,10.15873016,6.666666667,3.80952381,3.174603175,7.619047619,38.41269841,84.12698413,173.3333333,267.9365079,362.8571429,458.0952381,356.8253968,256.5079365,156.5079365,64.44444444,16.82539683,-8.571428571,-64.12698413,-63.17460317,-58.0952381,-54.6031746,-47.46031746,-49.84126984,-55.71428571,-57.14285714,-54.76190476,-52.38095238,-56.66666667,-63.49206349,-63.01587302,-61.26984127,-61.74603175,-64.12698413,-70.95238095,-69.52380952,-68.41269841,-74.28571429,-83.33333333,-97.77777778
20064,C4,Pass,Pass,Pass,32725,21558,13269,5530,86,8,75.55555556,-1.955128205,-22.6984127,-14.6031746,-10.63492063,-4.444444444,-5.238095238,-7.301587302,-7.46031746,-4.761904762,0.476190476,-2.857142857,-5.873015873,-2.222222222,1.111111111,4.126984127,-1.428571429,-3.492063492,-0.158730159,0.634920635,0.317460317,-1.587301587,-4.761904762,6.666666667,30.79365079,63.49206349,146.3492063,240.6349206,334.9206349,429.5238095,329.5238095,233.3333333,139.3650794,53.96825397,13.33333333,-10.79365079,-58.41269841,-77.77777778,-78.73015873,-80,-63.33333333,-54.6031746,-59.20634921,-70.47619048,-74.12698413,-61.26984127,-55.3968254,-60.95238095,-72.22222222,-72.6984127,-61.74603175,-57.46031746,-63.01587302,-74.28571429,-74.44444444,-66.34920635,-71.58730159,-87.61904762
20064,P4,Pass,Pass,Pass,31970,24893,7459,4825,46,9,84.44444444,1.709401709,-22.6984127,-9.206349206,-1.428571429,-5.714285714,-4.603174603,-5.079365079,2.063492063,4.126984127,-3.015873016,-4.444444444,-3.015873016,8.888888889,5.555555556,-2.857142857,-2.380952381,0.634920635,12.22222222,5.079365079,3.492063492,0.952380952,1.904761905,5.714285714,42.85714286,88.57142857,174.6031746,269.5238095,364.7619048,459.3650794,359.3650794,258.4126984,159.047619,70.47619048,34.92063492,-6.349206349,-65.3968254,-69.52380952,-74.28571429,-76.82539683,-80.79365079,-70.79365079,-66.82539683,-68.57142857,-76.66666667,-80.95238095,-72.85714286,-70.47619048,-76.34920635,-79.36507937,-80.79365079,-70.15873016,-68.41269841,-75.55555556,-82.6984127,-85.71428571,-84.28571429,-98.0952381
20064,C5,Pass,Pass,Pass,32039,23898,11866,4349,52,10,62.03174603,28.87019231,-20.47619048,-14.28571429,-7.142857143,-2.857142857,-6.19047619,-6.666666667,-7.777777778,-3.174603175,2.380952381,-6.031746032,-4.603174603,-1.904761905,-3.015873016,2.222222222,-2.698412698,-2.857142857,-3.333333333,-6.349206349,-6.666666667,-7.301587302,-8.571428571,11.42857143,33.96825397,80.63492063,171.7460317,266.984127,363.1746032,459.3650794,359.6825397,263.1746032,167.3015873,74.92063492,26.98412698,-4.761904762,-20.95238095,-63.80952381,-66.03174603,-66.34920635,-53.80952381,-48.57142857,-49.36507937,-53.96825397,-60.15873016,-55.87301587,-50.63492063,-53.65079365,-56.34920635,-62.53968254,-58.25396825,-51.11111111,-54.76190476,-58.41269841,-64.28571429,-61.58730159,-68.0952381,-84.76190476
